state_id,lga_id,town_id,town_name
enugu,enugu_aninri,town_enugu_aninri_ndeaboh,Ndeaboh
enugu,enugu_aninri,town_enugu_aninri_nenwe,Nenwe
enugu,enugu_aninri,town_enugu_aninri_oduma,Oduma
enugu,enugu_aninri,town_enugu_aninri_okpanku,Okpanku
enugu,enugu_aninri,town_enugu_aninri_mpu,Mpu
enugu,enugu_awgu,town_enugu_awgu_awgu,Awgu
enugu,enugu_awgu,town_enugu_awgu_mgbowo,Mgbowo
enugu,enugu_awgu,town_enugu_awgu_owelli,Owelli
enugu,enugu_awgu,town_enugu_awgu_mmaku,Mmaku
enugu,enugu_awgu,town_enugu_awgu_ugbo,Ugbo
enugu,enugu_awgu,town_enugu_awgu_ihe,Ihe
enugu,enugu_awgu,town_enugu_awgu_isu_awaa,Isu Awaa
enugu,enugu_enugu_east,town_enugu_enugu_east_nike,Nike
enugu,enugu_enugu_east,town_enugu_enugu_east_emene,Emene
enugu,enugu_enugu_east,town_enugu_enugu_east_abakpa_nike,Abakpa Nike
enugu,enugu_enugu_east,town_enugu_enugu_east_trans_ekulu,Trans-Ekulu
enugu,enugu_enugu_east,town_enugu_enugu_east_iji_nike,Iji-Nike
enugu,enugu_enugu_east,town_enugu_enugu_east_ogui_nike,Ogui Nike
enugu,enugu_enugu_north,town_enugu_enugu_north_ogui,Ogui
enugu,enugu_enugu_north,town_enugu_enugu_north_asata,Asata
enugu,enugu_enugu_north,town_enugu_enugu_north_coal_camp,Coal Camp
enugu,enugu_enugu_north,town_enugu_enugu_north_new_haven,New Haven
enugu,enugu_enugu_north,town_enugu_enugu_north_gra_enugu,GRA Enugu
enugu,enugu_enugu_south,town_enugu_enugu_south_amechi,Amechi
enugu,enugu_enugu_south,town_enugu_enugu_south_ugwuaji,Ugwuaji
enugu,enugu_enugu_south,town_enugu_enugu_south_awkunanaw,Awkunanaw
enugu,enugu_enugu_south,town_enugu_enugu_south_maryland,Maryland
enugu,enugu_enugu_south,town_enugu_enugu_south_achara_layout,Achara Layout
enugu,enugu_ezeagu,town_enugu_ezeagu_aguobu_owa,Aguobu-Owa
enugu,enugu_ezeagu,town_enugu_ezeagu_iwollo,Iwollo
enugu,enugu_ezeagu,town_enugu_ezeagu_umana_ndiuno,Umana Ndiuno
enugu,enugu_ezeagu,town_enugu_ezeagu_akama_oghe,Akama Oghe
enugu,enugu_ezeagu,town_enugu_ezeagu_mgbagbu_owa,Mgbagbu Owa
enugu,enugu_ezeagu,town_enugu_ezeagu_obinofia_ndiuno,Obinofia Ndiuno
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_ogbede,Ogbede
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_ukehe,Ukehe
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_aku,Aku
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_diogbe,Diogbe
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_ikolo,Ikolo
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_udueme,Udueme
enugu,enugu_igbo_etiti,town_enugu_igbo_etiti_onyohor,Onyohor
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_enugu_ezike,Enugu Ezike
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_ette,Ette
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_umuitodo,Umuitodo
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_aji,Aji
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_ezzodo,Ezzodo
enugu,enugu_igbo_eze_north,town_enugu_igbo_eze_north_umuozzi,Umuozzi
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_ibagwa_aka,Ibagwa-Aka
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_itchi,Itchi
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_alor_agu,Alor-Agu
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_unadu,Unadu
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_echara,Echara
enugu,enugu_igbo_eze_south,town_enugu_igbo_eze_south_ovoko,Ovoko
enugu,enugu_isi_uzo,town_enugu_isi_uzo_ikem,Ikem
enugu,enugu_isi_uzo,town_enugu_isi_uzo_eha_amufu,Eha-Amufu
enugu,enugu_isi_uzo,town_enugu_isi_uzo_neke,Neke
enugu,enugu_isi_uzo,town_enugu_isi_uzo_mbu,Mbu
enugu,enugu_isi_uzo,town_enugu_isi_uzo_umualor,Umualor
enugu,enugu_nkanu_east,town_enugu_nkanu_east_amagunze,Amagunze
enugu,enugu_nkanu_east,town_enugu_nkanu_east_ugbawka,Ugbawka
enugu,enugu_nkanu_east,town_enugu_nkanu_east_nara,Nara
enugu,enugu_nkanu_east,town_enugu_nkanu_east_nkerefi,Nkerefi
enugu,enugu_nkanu_east,town_enugu_nkanu_east_owo,Owo
enugu,enugu_nkanu_east,town_enugu_nkanu_east_akpugo,Akpugo
enugu,enugu_nkanu_west,town_enugu_nkanu_west_agbani,Agbani
enugu,enugu_nkanu_west,town_enugu_nkanu_west_akpugo,Akpugo
enugu,enugu_nkanu_west,town_enugu_nkanu_west_ozalla,Ozalla
enugu,enugu_nkanu_west,town_enugu_nkanu_west_obe,Obe
enugu,enugu_nkanu_west,town_enugu_nkanu_west_amurri,Amurri
enugu,enugu_nkanu_west,town_enugu_nkanu_west_akegbe_ugwu,Akegbe-Ugwu
enugu,enugu_nsukka,town_enugu_nsukka_nsukka,Nsukka
enugu,enugu_nsukka,town_enugu_nsukka_opi,Opi
enugu,enugu_nsukka,town_enugu_nsukka_ede_oballa,Ede-Oballa
enugu,enugu_nsukka,town_enugu_nsukka_obukpa,Obukpa
enugu,enugu_nsukka,town_enugu_nsukka_okpuje,Okpuje
enugu,enugu_nsukka,town_enugu_nsukka_lejja,Lejja
enugu,enugu_nsukka,town_enugu_nsukka_eha_alumona,Eha-Alumona
enugu,enugu_oji_river,town_enugu_oji_river_oji_river,Oji River
enugu,enugu_oji_river,town_enugu_oji_river_achi,Achi
enugu,enugu_oji_river,town_enugu_oji_river_inyi,Inyi
enugu,enugu_oji_river,town_enugu_oji_river_ugwuoba,Ugwuoba
enugu,enugu_oji_river,town_enugu_oji_river_awlaw,Awlaw
enugu,enugu_oji_river,town_enugu_oji_river_akpugoeze,Akpugoeze
enugu,enugu_udenue,town_enugu_udenue_obollo_afor,Obollo-Afor
enugu,enugu_udenue,town_enugu_udenue_orba,Orba
enugu,enugu_udenue,town_enugu_udenue_imilike,Imilike
enugu,enugu_udenue,town_enugu_udenue_ezimo,Ezimo
enugu,enugu_udenue,town_enugu_udenue_amalla,Amalla
enugu,enugu_udenue,town_enugu_udenue_umundu,Umundu
enugu,enugu_udi,town_enugu_udi_udi,Udi
enugu,enugu_udi,town_enugu_udi_ngwo,Ngwo
enugu,enugu_udi,town_enugu_udi_nachi,Nachi
enugu,enugu_udi,town_enugu_udi_abor,Abor
enugu,enugu_udi,town_enugu_udi_nsude,Nsude
enugu,enugu_udi,town_enugu_udi_eke,Eke
enugu,enugu_udi,town_enugu_udi_umuaga,Umuaga
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_umulokpa,Umulokpa
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_adani,Adani
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_nkpologu,Nkpologu
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_ukpata,Ukpata
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_abbi,Abbi
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_nimbo,Nimbo
enugu,enugu_uzo_uwani,town_enugu_uzo_uwani_ugbene_ajima,Ugbene Ajima
